,no.,county_name,2018_avg_time_bribe_paid,2016_avg_time_bribe_paid,difference,regime_change
0,1,tanariver,3.76,1.34,2.42,Yes
1,2,kilifi,2.17,1.3,0.8699999999999999,No
2,3,wajir,1.97,0.0,1.97,Yes
3,4,lamu,1.97,1.0,0.97,Yes
4,5,migori,1.83,1.0,0.8300000000000001,No
5,6,kisii,1.79,1.0,0.79,No
6,7,vihiga,1.74,1.31,0.42999999999999994,Yes
7,8,laikipia,1.67,1.0,0.6699999999999999,Yes
8,9,garissa,1.67,1.0,0.6699999999999999,Yes
9,10,mandera,1.52,1.59,-0.07000000000000006,No
10,11,transnzoia,1.47,1.15,0.32000000000000006,No
11,12,mombasa,1.43,1.0,0.42999999999999994,No
12,13,nyeri,1.42,1.8,-0.3800000000000001,Yes
13,14,kirinyaga,1.41,1.3,0.10999999999999988,Yes
14,15,murang'a,1.39,1.0,0.3899999999999999,No
15,16,nyandarua,1.39,1.25,0.1399999999999999,Yes
16,17,kajiado,1.31,2.34,-1.0299999999999998,Yes
17,18,elgeyomarakwet,1.31,1.76,-0.44999999999999996,No
18,19,turkana,1.3,1.09,0.20999999999999996,No
19,20,kakamega,1.3,1.44,-0.1399999999999999,No
20,21,embu,1.29,1.12,0.16999999999999993,No
21,22,kiambu,1.28,1.71,-0.42999999999999994,Yes
22,23,kisumu,1.26,1.52,-0.26,Yes
23,24,nairobi,1.24,1.51,-0.27,Yes
24,25,westpokot,1.23,1.0,0.22999999999999998,Yes
25,26,homabay,1.22,1.0,0.21999999999999997,No
26,27,meru,1.2,1.29,-0.09000000000000008,Yes
27,28,tharakanithi,1.19,1.0,0.18999999999999995,Yes
28,29,bungoma,1.15,1.13,0.020000000000000018,Yes
29,30,kericho,1.11,1.0,0.1100000000000001,No
30,31,kwale,1.09,1.0,0.09000000000000008,No
31,32,baringo,1.09,1.0,0.09000000000000008,Yes
32,33,busia,1.08,1.68,-0.5999999999999999,No
33,34,siaya,1.07,1.4,-0.32999999999999985,No
34,35,nandi,1.07,1.08,-0.010000000000000009,Yes
35,36,kitui,1.06,1.0,0.06000000000000005,Yes
36,37,uasingishu,1.03,1.02,0.010000000000000009,No
37,38,nakuru,1.03,1.09,-0.06000000000000005,Yes
38,39,makueni,1.02,1.0,0.020000000000000018,No
39,40,taitataveta,1.0,1.14,-0.1399999999999999,Yes
40,41,machakos,1.0,1.04,-0.040000000000000036,No
41,42,nyamira,1.0,1.06,-0.06000000000000005,Yes
42,43,narok,1.0,1.0,0.0,No
43,44,samburu,1.0,1.0,0.0,No
44,45,bomet,1.0,1.0,0.0,Yes
45,46,isiolo,1.0,1.0,0.0,Yes
46,47,marsabit,1.0,1.65,-0.6499999999999999,Yes
